name,category,code
Family: Man,Emoji,👨‍👩‍👧‍👧
Family: Man,Emoji,👨‍👨‍👦
Family: Man,Emoji,👨‍👨‍👧
Family: Man,Emoji,👨‍👨‍👧‍👦
Family: Man,Emoji,👨‍👨‍👦‍👦
Family: Man,Emoji,👨‍👨‍👧‍👧
Family: Woman,Emoji,👩‍👩‍👦
Family: Woman,Emoji,👩‍👩‍👧
Family: Woman,Emoji,👩‍👩‍👧‍👦
Family: Woman,Emoji,👩‍👩‍👦‍👦
Family: Woman,Emoji,👩‍👩‍👧‍👧
Family: Man,Emoji,👨‍👦
Family: Man,Emoji,👨‍👦‍👦
Family: Man,Emoji,👨‍👧
Family: Man,Emoji,👨‍👧‍👦
Family: Man,Emoji,👨‍👧‍👧
Family: Woman,Emoji,👩‍👦
Family: Woman,Emoji,👩‍👦‍👦
Family: Woman,Emoji,👩‍👧
Family: Woman,Emoji,👩‍👧‍👦
Family: Woman,Emoji,👩‍👧‍👧
Selfie,Emoji,🤳
Flexed Biceps,Emoji,💪
Backhand Index Pointing Left,Emoji,👈
Backhand Index Pointing Right,Emoji,👉
Index Pointing Up,Emoji,☝
Backhand Index Pointing Up,Emoji,👆
Middle Finger,Emoji,🖕
Backhand Index Pointing Down,Emoji,👇
Victory Hand,Emoji,✌
Crossed Fingers,Emoji,🤞
Vulcan Salute,Emoji,🖖
Sign of the Horns,Emoji,🤘
Hand With Fingers Splayed,Emoji,🖐
Raised Hand,Emoji,✋
OK Hand,Emoji,👌
Thumbs Up,Emoji,👍
Thumbs Down,Emoji,👎
Raised Fist,Emoji,✊
Oncoming Fist,Emoji,👊
Left-Facing Fist,Emoji,🤛
Right-Facing Fist,Emoji,🤜
Raised Back of Hand,Emoji,🤚
Waving Hand,Emoji,👋
Love-You Gesture,Emoji,🤟
Writing Hand,Emoji,✍
Clapping Hands,Emoji,👏
Open Hands,Emoji,👐
Raising Hands,Emoji,🙌
Palms Up Together,Emoji,🤲
Folded Hands,Emoji,🙏
Handshake,Emoji,🤝
Nail Polish,Emoji,💅
Ear,Emoji,👂
Nose,Emoji,👃
Footprints,Emoji,👣
Eyes,Emoji,👀
Eye,Emoji,👁
Brain,Emoji,🧠
Tongue,Emoji,👅
Mouth,Emoji,👄
Kiss Mark,Emoji,💋
Glasses,Emoji,👓
Sunglasses,Emoji,🕶
Necktie,Emoji,👔
T-Shirt,Emoji,👕
Jeans,Emoji,👖
Scarf,Emoji,🧣
Gloves,Emoji,🧤
Coat,Emoji,🧥
Socks,Emoji,🧦
Dress,Emoji,👗
Kimono,Emoji,👘
Bikini,Emoji,👙
Woman’s Clothes,Emoji,👚
Purse,Emoji,👛
Handbag,Emoji,👜
Clutch Bag,Emoji,👝
School Backpack,Emoji,🎒
Man’s Shoe,Emoji,👞
Running Shoe,Emoji,👟
High-Heeled Shoe,Emoji,👠
Woman’s Sandal,Emoji,👡
Woman’s Boot,Emoji,👢
Crown,Emoji,👑
Woman’s Hat,Emoji,👒
Top Hat,Emoji,🎩
Graduation Cap,Emoji,🎓
Billed Cap,Emoji,🧢
Rescue Worker’s Helmet,Emoji,⛑
Lipstick,Emoji,💄
Ring,Emoji,💍
Closed Umbrella,Emoji,🌂
Umbrella,Emoji,☂
Briefcase,Emoji,💼
break,Emoji,break
See-No-Evil Monkey,Emoji,🙈
Hear-No-Evil Monkey,Emoji,🙉
Speak-No-Evil Monkey,Emoji,🙊
Collision,Emoji,💥
Sweat Droplets,Emoji,💦
Dashing Away,Emoji,💨
Dizzy,Emoji,💫
Monkey Face,Emoji,🐵
Monkey,Emoji,🐒
Gorilla,Emoji,🦍
Dog Face,Emoji,🐶
Dog,Emoji,🐕
Poodle,Emoji,🐩
Wolf Face,Emoji,🐺
Fox Face,Emoji,🦊
Cat Face,Emoji,🐱
Cat,Emoji,🐈
Lion Face,Emoji,🦁
Tiger Face,Emoji,🐯
Tiger,Emoji,🐅
Leopard,Emoji,🐆
Horse Face,Emoji,🐴
Horse,Emoji,🐎
Unicorn Face,Emoji,🦄
Zebra,Emoji,🦓
Cow Face,Emoji,🐮
Ox,Emoji,🐂
Water Buffalo,Emoji,🐃
Cow,Emoji,🐄
Pig Face,Emoji,🐷
Pig,Emoji,🐖
Boar,Emoji,🐗
Pig Nose,Emoji,🐽
Ram,Emoji,🐏
Ewe,Emoji,🐑
Goat,Emoji,🐐
Camel,Emoji,🐪
Two-Hump Camel,Emoji,🐫
Giraffe,Emoji,🦒
Elephant,Emoji,🐘
Rhinoceros,Emoji,🦏
Mouse Face,Emoji,🐭
Mouse,Emoji,🐁
Rat,Emoji,🐀
Hamster Face,Emoji,🐹
Rabbit Face,Emoji,🐰
Rabbit,Emoji,🐇
Chipmunk,Emoji,🐿
Hedgehog,Emoji,🦔
Bat,Emoji,🦇
Bear Face,Emoji,🐻
Koala,Emoji,🐨
Panda Face,Emoji,🐼
Paw Prints,Emoji,🐾
Turkey,Emoji,🦃
Chicken,Emoji,🐔
Rooster,Emoji,🐓
Hatching Chick,Emoji,🐣
Baby Chick,Emoji,🐤
Front-Facing Baby Chick,Emoji,🐥
Bird,Emoji,🐦
Penguin,Emoji,🐧
Dove,Emoji,🕊
Eagle,Emoji,🦅
Duck,Emoji,🦆
Owl,Emoji,🦉
Frog Face,Emoji,🐸
Crocodile,Emoji,🐊
Turtle,Emoji,🐢
Lizard,Emoji,🦎
Snake,Emoji,🐍
Dragon Face,Emoji,🐲
Dragon,Emoji,🐉
Sauropod,Emoji,🦕
T-Rex,Emoji,🦖
Spouting Whale,Emoji,🐳
Whale,Emoji,🐋
Dolphin,Emoji,🐬
Fish,Emoji,🐟
Tropical Fish,Emoji,🐠
Blowfish,Emoji,🐡
Shark,Emoji,🦈
Octopus,Emoji,🐙
Spiral Shell,Emoji,🐚
Crab,Emoji,🦀
Shrimp,Emoji,🦐
Squid,Emoji,🦑
Snail,Emoji,🐌
Butterfly,Emoji,🦋
Bug,Emoji,🐛
Ant,Emoji,🐜
Honeybee,Emoji,🐝
Lady Beetle,Emoji,🐞
Cricket,Emoji,🦗
Spider,Emoji,🕷
Spider Web,Emoji,🕸
Scorpion,Emoji,🦂
Bouquet,Emoji,💐
Cherry Blossom,Emoji,🌸
White Flower,Emoji,💮
Rosette,Emoji,🏵
Rose,Emoji,🌹
Wilted Flower,Emoji,🥀
Hibiscus,Emoji,🌺
Sunflower,Emoji,🌻
Blossom,Emoji,🌼
Tulip,Emoji,🌷
Seedling,Emoji,🌱
Evergreen Tree,Emoji,🌲
Deciduous Tree,Emoji,🌳
Palm Tree,Emoji,🌴
Cactus,Emoji,🌵
Sheaf of Rice,Emoji,🌾
Herb,Emoji,🌿
Shamrock,Emoji,☘
Four Leaf Clover,Emoji,🍀
Maple Leaf,Emoji,🍁
Fallen Leaf,Emoji,🍂
Leaf Fluttering in Wind,Emoji,🍃
Mushroom,Emoji,🍄
Chestnut,Emoji,🌰
Globe Showing Europe-Africa,Emoji,🌍
Globe Showing Americas,Emoji,🌎
Globe Showing Asia-Australia,Emoji,🌏
Globe With Meridians,Emoji,🌐
New Moon,Emoji,🌑
Waxing Crescent Moon,Emoji,🌒
First Quarter Moon,Emoji,🌓
Waxing Gibbous Moon,Emoji,🌔
Full Moon,Emoji,🌕
Waning Gibbous Moon,Emoji,🌖
Last Quarter Moon,Emoji,🌗
Waning Crescent Moon,Emoji,🌘
Crescent Moon,Emoji,🌙
New Moon Face,Emoji,🌚
First Quarter Moon Face,Emoji,🌛
Last Quarter Moon Face,Emoji,🌜
Sun,Emoji,☀
Full Moon Face,Emoji,🌝
Sun With Face,Emoji,🌞
White Medium Star,Emoji,⭐
Glowing Star,Emoji,🌟
Shooting Star,Emoji,🌠
Cloud,Emoji,☁
Sun Behind Cloud,Emoji,⛅
Cloud With Lightning and Rain,Emoji,⛈
Sun Behind Small Cloud,Emoji,🌤
Sun Behind Large Cloud,Emoji,🌥
Sun Behind Rain Cloud,Emoji,🌦
Cloud With Rain,Emoji,🌧
Cloud With Snow,Emoji,🌨
Cloud With Lightning,Emoji,🌩
Tornado,Emoji,🌪
Fog,Emoji,🌫
Wind Face,Emoji,🌬
Rainbow,Emoji,🌈
Umbrella,Emoji,☂
Umbrella With Rain Drops,Emoji,☔
High Voltage,Emoji,⚡
Snowflake,Emoji,❄
Snowman,Emoji,☃
Snowman Without Snow,Emoji,⛄
Comet,Emoji,☄
Fire,Emoji,🔥
Droplet,Emoji,💧
Water Wave,Emoji,🌊
Christmas Tree,Emoji,🎄
Sparkles,Emoji,✨
Tanabata Tree,Emoji,🎋
Pine Decoration,Emoji,🎍
break,Emoji,break
Grapes,Emoji,🍇
Melon,Emoji,🍈
Watermelon,Emoji,🍉
Tangerine,Emoji,🍊
Lemon,Emoji,🍋
Banana,Emoji,🍌
Pineapple,Emoji,🍍
Red Apple,Emoji,🍎
Green Apple,Emoji,🍏
Pear,Emoji,🍐
Peach,Emoji,🍑
Cherries,Emoji,🍒
Strawberry,Emoji,🍓
Kiwi Fruit,Emoji,🥝
Tomato,Emoji,🍅
Coconut,Emoji,🥥
Avocado,Emoji,🥑
Eggplant,Emoji,🍆
Potato,Emoji,🥔
Carrot,Emoji,🥕
Ear of Corn,Emoji,🌽
Hot Pepper,Emoji,🌶
Cucumber,Emoji,🥒
Broccoli,Emoji,🥦
Mushroom,Emoji,🍄
Peanuts,Emoji,🥜
Chestnut,Emoji,🌰
Bread,Emoji,🍞
Croissant,Emoji,🥐
Baguette Bread,Emoji,🥖
Pretzel,Emoji,🥨
Pancakes,Emoji,🥞
Cheese Wedge,Emoji,🧀
Meat on Bone,Emoji,🍖
Poultry Leg,Emoji,🍗
Cut of Meat,Emoji,🥩
Bacon,Emoji,🥓
Hamburger,Emoji,🍔
French Fries,Emoji,🍟
Pizza,Emoji,🍕
Hot Dog,Emoji,🌭
Sandwich,Emoji,🥪
Taco,Emoji,🌮
Burrito,Emoji,🌯
Cooking,Emoji,🍳
Pot of Food,Emoji,🍲
Bowl With Spoon,Emoji,🥣
Green Salad,Emoji,🥗
Popcorn,Emoji,🍿
Canned Food,Emoji,🥫
Bento Box,Emoji,🍱
Rice Cracker,Emoji,🍘
Rice Ball,Emoji,🍙
Cooked Rice,Emoji,🍚
Curry Rice,Emoji,🍛
Steaming Bowl,Emoji,🍜
Spaghetti,Emoji,🍝
Roasted Sweet Potato,Emoji,🍠
Oden,Emoji,🍢
Sushi,Emoji,🍣
Fried Shrimp,Emoji,🍤
Fish Cake With Swirl,Emoji,🍥
Dango,Emoji,🍡
Dumpling,Emoji,🥟
Fortune Cookie,Emoji,🥠
Takeout Box,Emoji,🥡
Soft Ice Cream,Emoji,🍦
Shaved Ice,Emoji,🍧
Ice Cream,Emoji,🍨
Doughnut,Emoji,🍩
Cookie,Emoji,🍪
Birthday Cake,Emoji,🎂
Shortcake,Emoji,🍰
Pie,Emoji,🥧
Chocolate Bar,Emoji,🍫
Candy,Emoji,🍬
Lollipop,Emoji,🍭
Custard,Emoji,🍮
Honey Pot,Emoji,🍯
Baby Bottle,Emoji,🍼
Glass of Milk,Emoji,🥛
Hot Beverage,Emoji,☕
Teacup Without Handle,Emoji,🍵
Sake,Emoji,🍶
Bottle With Popping Cork,Emoji,🍾
Wine Glass,Emoji,🍷
Cocktail Glass,Emoji,🍸
Tropical Drink,Emoji,🍹
Beer Mug,Emoji,🍺
Clinking Beer Mugs,Emoji,🍻
Clinking Glasses,Emoji,🥂
Tumbler Glass,Emoji,🥃
Cup With Straw,Emoji,🥤
Chopsticks,Emoji,🥢
Fork and Knife With Plate,Emoji,🍽
Fork and Knife,Emoji,🍴
Spoon,Emoji,🥄
break,Emoji,break
Alien Monster,Emoji,👾
Woman Climbing,Emoji,🧗‍♀️
Man Climbing,Emoji,🧗‍♂️
Woman in Lotus Position,Emoji,🧘‍♀️
Man in Lotus Position,Emoji,🧘‍♂️
Man in Suit Levitating,Emoji,🕴
Horse Racing,Emoji,🏇
Skier,Emoji,⛷
Snowboarder,Emoji,🏂
Person Golfing,Emoji,🏌
Man Golfing,Emoji,🏌️‍♂️
Woman Golfing,Emoji,🏌️‍♀️
Person Surfing,Emoji,🏄
Man Surfing,Emoji,🏄‍♂️
Woman Surfing,Emoji,🏄‍♀️
Person Rowing Boat,Emoji,🚣
Man Rowing Boat,Emoji,🚣‍♂️
Woman Rowing Boat,Emoji,🚣‍♀️
Person Swimming,Emoji,🏊
Man Swimming,Emoji,🏊‍♂️
Woman Swimming,Emoji,🏊‍♀️
Person Bouncing Ball,Emoji,⛹
Man Bouncing Ball,Emoji,⛹️‍♂️
Woman Bouncing Ball,Emoji,⛹️‍♀️
Person Lifting Weights,Emoji,🏋
Man Lifting Weights,Emoji,🏋️‍♂️
Woman Lifting Weights,Emoji,🏋️‍♀️
Person Biking,Emoji,🚴
Man Biking,Emoji,🚴‍♂️
Woman Biking,Emoji,🚴‍♀️
Person Mountain Biking,Emoji,🚵
Man Mountain Biking,Emoji,🚵‍♂️
Woman Mountain Biking,Emoji,🚵‍♀️
Person Cartwheeling,Emoji,🤸
Man Cartwheeling,Emoji,🤸‍♂️
Woman Cartwheeling,Emoji,🤸‍♀️
People Wrestling,Emoji,🤼
Men Wrestling,Emoji,🤼‍♂️
Women Wrestling,Emoji,🤼‍♀️
Person Playing Water Polo,Emoji,🤽
Man Playing Water Polo,Emoji,🤽‍♂️
Woman Playing Water Polo,Emoji,🤽‍♀️
Person Playing Handball,Emoji,🤾
Man Playing Handball,Emoji,🤾‍♂️
Woman Playing Handball,Emoji,🤾‍♀️
Person Juggling,Emoji,🤹
Man Juggling,Emoji,🤹‍♂️
Woman Juggling,Emoji,🤹‍♀️
Circus Tent,Emoji,🎪
Reminder Ribbon,Emoji,🎗
Admission Tickets,Emoji,🎟
Ticket,Emoji,🎫
Military Medal,Emoji,🎖
Trophy,Emoji,🏆
Sports Medal,Emoji,🏅
1st Place Medal,Emoji,🥇
2nd Place Medal,Emoji,🥈
3rd Place Medal,Emoji,🥉
Soccer Ball,Emoji,⚽
Baseball,Emoji,⚾
Basketball,Emoji,🏀
Volleyball,Emoji,🏐
American Football,Emoji,🏈
Rugby Football,Emoji,🏉
Tennis,Emoji,🎾
Bowling,Emoji,🎳
Cricket Game,Emoji,🏏
Field Hockey,Emoji,🏑
Ice Hockey,Emoji,🏒
Ping Pong,Emoji,🏓
Badminton,Emoji,🏸
Boxing Glove,Emoji,🥊
Martial Arts Uniform,Emoji,🥋
Flag in Hole,Emoji,⛳
Ice Skate,Emoji,⛸
Fishing Pole,Emoji,🎣
Running Shirt,Emoji,🎽
Skis,Emoji,🎿
Sled,Emoji,🛷
Curling Stone,Emoji,🥌
Direct Hit,Emoji,🎯
Pool 8 Ball,Emoji,🎱
Video Game,Emoji,🎮
Slot Machine,Emoji,🎰
Game Die,Emoji,🎲
Performing Arts,Emoji,🎭
Artist Palette,Emoji,🎨
Musical Score,Emoji,🎼
Microphone,Emoji,🎤
Headphone,Emoji,🎧
Saxophone,Emoji,🎷
Guitar,Emoji,🎸
Musical Keyboard,Emoji,🎹
Trumpet,Emoji,🎺
Violin,Emoji,🎻
Drum,Emoji,🥁
Clapper Board,Emoji,🎬
Bow and Arrow,Emoji,🏹
break,Emoji,break
Person Rowing Boat,Emoji,🚣
Racing Car,Emoji,🏎
Motorcycle,Emoji,🏍
Map of Japan,Emoji,🗾
Snow-Capped Mountain,Emoji,🏔
Mountain,Emoji,⛰
Volcano,Emoji,🌋
Mount Fuji,Emoji,🗻
Camping,Emoji,🏕
Beach With Umbrella,Emoji,🏖
Desert,Emoji,🏜
Desert Island,Emoji,🏝
National Park,Emoji,🏞
Stadium,Emoji,🏟
Classical Building,Emoji,🏛
Building Construction,Emoji,🏗
Houses,Emoji,🏘
Derelict House,Emoji,🏚
House,Emoji,🏠
House With Garden,Emoji,🏡
Office Building,Emoji,🏢
Japanese Post Office,Emoji,🏣
Post Office,Emoji,🏤
Hospital,Emoji,🏥
Bank,Emoji,🏦
Hotel,Emoji,🏨
Love Hotel,Emoji,🏩
Convenience Store,Emoji,🏪
School,Emoji,🏫
Department Store,Emoji,🏬
Factory,Emoji,🏭
Japanese Castle,Emoji,🏯
Castle,Emoji,🏰
Wedding,Emoji,💒
Tokyo Tower,Emoji,🗼
Statue of Liberty,Emoji,🗽
Church,Emoji,⛪
Mosque,Emoji,🕌
Synagogue,Emoji,🕍
Shinto Shrine,Emoji,⛩
Kaaba,Emoji,🕋
Fountain,Emoji,⛲
Tent,Emoji,⛺
Foggy,Emoji,🌁
Night With Stars,Emoji,🌃
Cityscape,Emoji,🏙
Sunrise Over Mountains,Emoji,🌄
Sunrise,Emoji,🌅
Cityscape at Dusk,Emoji,🌆
Sunset,Emoji,🌇
Bridge at Night,Emoji,🌉
Milky Way,Emoji,🌌
Carousel Horse,Emoji,🎠
Ferris Wheel,Emoji,🎡
Roller Coaster,Emoji,🎢
Locomotive,Emoji,🚂
Railway Car,Emoji,🚃
High-Speed Train,Emoji,🚄
Bullet Train,Emoji,🚅
Train,Emoji,🚆
Metro,Emoji,🚇
Light Rail,Emoji,🚈
Station,Emoji,🚉
Tram,Emoji,🚊
Monorail,Emoji,🚝
Mountain Railway,Emoji,🚞
Tram Car,Emoji,🚋
Bus,Emoji,🚌
Oncoming Bus,Emoji,🚍
Trolleybus,Emoji,🚎
Minibus,Emoji,🚐
Ambulance,Emoji,🚑
Fire Engine,Emoji,🚒
Police Car,Emoji,🚓
Oncoming Police Car,Emoji,🚔
Taxi,Emoji,🚕
Oncoming Taxi,Emoji,🚖
Automobile,Emoji,🚗
Oncoming Automobile,Emoji,🚘
Delivery Truck,Emoji,🚚
Articulated Lorry,Emoji,🚛
Tractor,Emoji,🚜
Bicycle,Emoji,🚲
Kick Scooter,Emoji,🛴
Motor Scooter,Emoji,🛵
Bus Stop,Emoji,🚏
Railway Track,Emoji,🛤
Fuel Pump,Emoji,⛽
Police Car Light,Emoji,🚨
Horizontal Traffic Light,Emoji,🚥
Vertical Traffic Light,Emoji,🚦
Construction,Emoji,🚧
Anchor,Emoji,⚓
Sailboat,Emoji,⛵
Speedboat,Emoji,🚤
Passenger Ship,Emoji,🛳
Ferry,Emoji,⛴
Motor Boat,Emoji,🛥
Ship,Emoji,🚢
Airplane,Emoji,✈
Small Airplane,Emoji,🛩
Airplane Departure,Emoji,🛫
Airplane Arrival,Emoji,🛬
Seat,Emoji,💺
Helicopter,Emoji,🚁
Suspension Railway,Emoji,🚟
Mountain Cableway,Emoji,🚠
